survey,item,variable,values,question_text,response_categories,agreed,notes
gallup_us201112,marry2,q23,"c(2, 1)",Do you think same-sex marriages should be recognized by the law as valid?,1 yes / 2 no,1,
gallup_us201211,adopt2,q14a,"c(2, 1)",Do you think same-sex couples should have the legal right to adopt a child?,1 yes / 2 no,1,
gallup_us201211,legal2,q5,"c(2, 1)",Do you think gay or lesbian relations between consenting adults should or should not be legal?,1 should be legal / 2 should not be legal,1,
gallup_us201211,marry2,q7,"c(2, 1)",Do you think same-sex marriages should be recognized by the law as valid?,1 yes / 2 no,1,
icenes2007,adopt5,gayadopt,c(5:1),Do you agree or disagree that homosexuals should have the same right as others to adopt children?,5 strongly disagree / 1 agree,1,
ines_long,just11,v0262,c(0:10),Homosexuality is never justified,0 never justified / 123456789 / 10 always justified,,
ines_long,marry5,v0264,c(5:1),Same sex marriages should be prohibited by law,1 Strongly disagree / 2 Disagree / 3 Neither Agree Nor Disagree / 4 Agree / 5 Strongly Agree,,
ipsos_ga201305,marry3,hf1,c(2:4),"When you think about the rights of same-sex couples, which of the following comes closest to your personal opinion? ","2 Same-sex couples should not be allowed to marry or obtain any kind of legal recognition / 3 Same-sex couples should be allowed to obtain some kind of legal recognition, but not to marry / 4 Same-sex couples should be allowed to marry legally",,
ipsos_ga201305,marry4c,hf2_3,c(4:1),Same-sex marriage is or could be harmful to society,1 strongly disagree / 2 somewhat disagree / 3 somewhat agree / 4 strongly agree,,
ipsos_ga201305,adopt4a,hf2_4,c(1:4),Same-sex couples should have the same rights to adopt children as heterosexual couples,1 strongly disagree / 2 somewhat disagree / 3 somewhat agree / 4 strongly agree,,
ipsos_ga201404,marry3,hf1,c(3:1),"When you think about the rights of same-sex couples, which of the following comes closest to your personal opinion? ","1 Same-sex couples should be allowed to marry legally / 2 Same-sex couples should be allowed to obtain some kind of legal recognition, but not to marry / 3 Same-sex couples should not be allowed to marry or obtain any kind of legal recognition",,
ipsos_ga201404,marry4c,hf2_3_hf2cat,c(1:4),Same-sex marriage is or could be harmful to society,1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree,,
ipsos_ga201404,adopt4a,hf2_4_hf2cat,c(4:1),Same-sex couples should have the same rights to adopt children as heterosexual couples,1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree,,
ipsos_ga201504,marry3,hf2_q1,c(3:1),"When you think about the rights of same-sex couples, which of the following comes closest to your personal opinion? ","1 Same-sex couples should be allowed to marry legally / 2 Same-sex couples should be allowed to obtain some kind of legal recognition, but not to marry / 3 Same-sex couples should not be allowed to marry or obtain any kind of legal recognition",,
ispas2001,just11,a4_1,c(0:10),is homosexuality justifiable?,0 never justified / 10 always justified,1,
isshr2006,approve4,c2c,c(4:1),what about sexual relations of the same sex is it,1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
issp1988,marry5,v36,c(5:1),Homosexual couples should have the right to marry one another,1 strongly agree / 2 agree / 3 neighter agree nor disagree / 4 disagree / 5 strongly disagree,1,
issp1988au,marry5,marokhom,c(5:1),Homosexual couples should have the right to marry one another,1 strongly agree / 2 agree / 3 neighter agree nor disagree / 4 disagree / 5 strongly disagree,1,
issp1991,approve4,v11,c(1:4),"And what about sexual relations between two adults of the same sex, is it?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
issp1994,approve4,v48,c(1:4),"And what about sexual relations between two adults of the same sex, is it?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
issp1998,approve4,v9,c(1:4),"And what about sexual relations between two adults of the same sex, is it?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
issp1998br,approve4,homosex1,c(1:4),"And what about sexual relations between two adults of the same sex, is it?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
issp2008,approve4,v9,c(1:4),"And what about sexual relations between two adults of the same sex, is it?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
issp2008a,approve4,v9,c(1:4),"And what about sexual relations between two adults of the same sex, is it?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
issp2008ca,approve4,v9,c(1:4),"And what about sexual relations between two adults of the same sex, is it?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
issp2012,ff5,v19,c(5:1),same sex female couple can bring up a child as well as a male-female couple,1 strongly agree / 2 agree / 3 neighter agree nor disagree / 4 disagree / 5 strongly disagree,1,
issp2012,mm5,v20,c(5:1),same sex male couple can bring up a child as well as a male-female couple,1 strongly agree / 2 agree / 3 neighter agree nor disagree / 4 disagree / 5 strongly disagree,1,
issp2018,approve4,v4,c(1:4),"And what about sexual relations between two adults of the same sex, is it?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
issp2018ext,approve4,v4,c(1:4),"And what about sexual relations between two adults of the same sex, is it?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
issp2018tn,approve4,v4,c(1:4),"And what about sexual relations between two adults of the same sex, is it?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
issp2018ve,approve4,v4,c(1:4),"And what about sexual relations between two adults of the same sex, is it?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
itanes2001,rights4,c10_6,c(4:1),Homosexuals should be ensured the same rights by law,1 agree completely 2 agree fairly 3 agree a little 4 disagree completely,,
itanes2006prepost,accept10,a11_1,c(1:10),"Please, tell me if, according to you, you consider each of these behaviours never acceptable or always acceptable or if their acceptability depends of circumstances. In that case please choose a intermediate position between 1 and 10: having homosexual intercourse",1 never acceptable 10 always acceptable ,,
jgss,approve4,q4homsea,c(1:4),What is your opinion about sexual relations between two adults of the same sex?,1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
jgss2008,approve4,q4homsea,c(1:4),What is your opinion about sexual relations between two adults of the same sex?,1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
kgss,marry5,homomar,c(5:1),Homosexual couples should have the right to marry one another,1 strongly agree / 2 agree / 3 neighter agree nor disagree / 4 disagree / 5 strongly disagree,1,
lat200006,approve4,q54,c(1:4),What do you think about sexual relations between two adults of the same gender?,1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
lat200006,marry4a,q57,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
lb1998,neigh2,np63a,"c(1, 0)",could you select any that you would not like to have as neighbors?,1 mentioned / 0 not mentioned,1,
lb2002,just10,p52wvsc,c(1:10),please teel me for each of the following statement - homosexuality,1 never be justified / 10 always be justified,1,
lb2004,just10,p38sta,c(1:10),please teel me for each of the following statement - homosexuality,1 never be justified / 10 always be justified,1,
lb2008,just10,p64wvsst,c(1:10),please teel me for each of the following statement - homosexuality,1 never be justified / 10 always be justified,1,
lb2009,just10,p63wvsst,c(1:10),please teel me for each of the following statement - homosexuality,1 never be justified / 10 always be justified,1,
lb2009,neigh2,p64st_a,"c(1, 0)",could you select any that you would not like to have as neighbors?,1 mentioned / 0 not mentioned,1,
lb2010,marry4a,p14n_g,c(4:1),"Do you strongly agree, agree, disagree or strongly disagree with each of the following statements? Homosexual marriage",1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree,,
lb2015,marry4a,p69st_c,c(4:1),"Do you strongly agree, agree, disagree or strongly disagree with each of the following statements? Homosexual marriage",1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree,,
lits_wave2,neigh2,q333h,"c(1, 0)",people you do not want to have as neighbors? Homosexuals,1 mentioned / 0 not mentioned,,
lits_wave3,neigh2,q429h,"c(1, 0)",people you do not want to have as neighbors? Homosexuals,1 mentioned / 0 not mentioned,,
nbcwsj199906,marry4a,q22i,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
nbcwsj200910,marry4a,q43,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
nsss1984,approve4,homosex,c(1:4),what about sexual relations between two adults of the same sex is it:,1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,,
nsss1987,approve4,homosex,c(1:4),what about sexual relations between two adults of the same sex is it:,1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,,
nsss1989,marry5,marokhom,c(5:1),Homosexual couples should have the right to marry one another,1 strongly agree / 2 agree / 3 neighter agree nor disagree / 4 disagree / 5 strongly disagree,1,
nsss1993,approve4,homosex3,c(1:4),"And what about sexual relations between two adults of the same sex, is it?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
nores_combo1,civil5,polspm94,c(5:1),Homosexuals living together should have approximately the same rights as married couples,1 strongly agree / 2 agree / 3 either or / 4 disagree / 5 strongly disagree,,
nores_combo2,adopt5,polspm128,c(5:1),Gay male and lesbian couples should have the same rights to adopt children as straight couples,1 strongly agree / 2 agree / 3 either or / 4 disagree / 5 strongly disagree,,
nores2013,adopt5,spm69c,c(5:1),Gay male and lesbian couples should have the same rights to adopt children as straight couples,1 strongly agree / 2 agree / 3 either or / 4 disagree / 5 strongly disagree,,
norcs2014_3,rights7,w03_r3dvh_3,c(7:1),Heterosexual and homosexual coouples should have the same rights,1 strongly agree / 2 agree / 3 somewhat agree / 4 Neither agree nor disagree / 5 somewhat disagree / 6 disagree 7 strongly disagree,,
norcs2015_4,rights7,r4dvh_3,c(7:1),Heterosexual and homosexual coouples should have the same rights,1 strongly agree / 2 agree / 3 somewhat agree / 4 Neither agree nor disagree / 5 somewhat disagree / 6 disagree 7 strongly disagree,,
norcs2015_5,rights7,r5dvh_3,c(7:1),Heterosexual and homosexual coouples should have the same rights,1 strongly agree / 2 agree / 3 somewhat agree / 4 Neither agree nor disagree / 5 somewhat disagree / 6 disagree 7 strongly disagree,,
norcs2016_6,rights7,r6dvh_3,c(7:1),Heterosexual and homosexual coouples should have the same rights,1 strongly agree / 2 agree / 3 somewhat agree / 4 Neither agree nor disagree / 5 somewhat disagree / 6 disagree 7 strongly disagree,,
norcs2016_7,rights7,r7dv30_3,c(7:1),Heterosexual and homosexual coouples should have the same rights,1 strongly agree / 2 agree / 3 somewhat agree / 4 Neither agree nor disagree / 5 somewhat disagree / 6 disagree 7 strongly disagree,,
norcs2017_8,rights7,r8parlikhet,c(7:1),Heterosexual and homosexual coouples should have the same rights,1 strongly agree / 2 agree / 3 somewhat agree / 4 Neither agree nor disagree / 5 somewhat disagree / 6 disagree 7 strongly disagree,,
norcs2017_9,rights7,r8parlikhet,c(7:1),Heterosexual and homosexual coouples should have the same rights,1 strongly agree / 2 agree / 3 somewhat agree / 4 Neither agree nor disagree / 5 somewhat disagree / 6 disagree 7 strongly disagree,,
norcs2017_10,rights7,r8parlikhet,c(7:1),Heterosexual and homosexual coouples should have the same rights,1 strongly agree / 2 agree / 3 somewhat agree / 4 Neither agree nor disagree / 5 somewhat disagree / 6 disagree 7 strongly disagree,,
norcs2020_19,parent7,r19meme7_1,c(1:7),It is not good for children to grow up with gay/lesbian parents,1 strongly agree / 2 agree / 3 somewhat agree / 4 Neither agree nor disagree / 5 somewhat disagree / 6 disagree 7 strongly disagree,,
nzes1993,approve5,homo,c(1:5),How far do you agree or disagree that homosexual relationships are always wrong?,1 strongly agree / 2 agree / 3 neutral / 4 disagree / 5 disagree strongly,,
nzes1996,approve5,phomo,c(1:5),"Do you strongly agree, agree, disagree, or strongly disagree with the following? Homosexual relationships are always wrong",1 strongly agree / 2 agree / 3 neutral / 4 disagree / 5 disagree strongly,,
nzes2005,approve5,yhomo,c(1:5),"Do you strongly agree, agree, disagree, or strongly disagree with the following? Homosexual relationships are always wrong",1 strongly agree / 2 agree / 3 neutral / 4 disagree / 5 disagree strongly,,
nzes2008,approve5,zhomo,c(1:5),"Do you strongly agree, agree, disagree, or strongly disagree with the following? Homosexual relationships are always wrong",1 strongly agree / 2 agree / 3 neutral / 4 disagree / 5 disagree strongly,,
pew2002,accept2,q40,"c(2, 1)",And which one of these comes closer to your opinion?,1 homosexuality is a way of life that should be accepted by society / 2 homosexuality is a way of life that should not be accepted by society,1,
pew2007,accept2,q50,"c(2, 1)",And which one of these comes closer to your opinion?,1 homosexuality is a way of life that should be accepted by society / 2 homosexuality is a way of life that should not be accepted by society,1,
pew2011,accept2,q18,"c(2, 1)",And which one of these comes closer to your opinion?,1 homosexuality is a way of life that should be accepted by society / 2 homosexuality is a way of life that should not be accepted by society,1,
pew2013,accept2,q27,"c(2, 1)",And which one of these comes closer to your opinion?,1 homosexuality is a way of life that should be accepted by society / 2 homosexuality is a way of life that should not be accepted by society,1,
pew2013,approve3,q84d,"c(2, 3, 1)",pless tell me whether you personally believe that it is morally acceptable,1 morally acceptable / 2 morally wrong / 3 not a moral issue,1,
pew2014_india,accept2,q27,"c(2, 1)",And which one of these comes closer to your opinion?,1 homosexuality is a way of life that should be accepted by society / 2 homosexuality is a way of life that should not be accepted by society,1,
pew2014_india,approve3,q84d,"c(2, 3, 1)",pless tell me whether you personally believe that it is morally acceptable,1 morally acceptable / 2 morally wrong / 3 not a moral issue,1,
pew2017,marry4a,favgaymarriage,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
pew2017_mpwe,adopt2,q32a,"c(2, 1)",Gays and lesbians should be able to adopt children OR gays and lesbians should not be able to adopt children?,1 gays and lesbians should be able to adopt children / 2 gays and lesbians should not be able to adopt children,,
pew2019,accept2,homosexuality,"c(2, 1)",And which one of these comes closer to your opinion?,1 homosexuality is a way of life that should be accepted by society / 2 homosexuality is a way of life that should not be accepted by society,1,
pewrel2009_afr,approve3,q85i,"c(2, 3, 1)",pless tell me whether you personally believe that it is morally acceptable,1 morally acceptable / 2 morally wrong / 3 not a moral issue,1,
pewrel2014_latam,approve3,q69h,"c(2, 3, 1)",pless tell me whether you personally believe that it is morally acceptable,1 morally acceptable / 2 morally wrong / 3 not a moral issue,1,
pewrel2014_latam,marry4a,q15,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
pewrel2014_us,accept2,q5b,"c(2, 1)",And which one of these comes closer to your opinion?,1 homosexuality is a way of life that should be accepted by society / 2 homosexuality is a way of life that should not be accepted by society,1,
pewrel2015_ee,accept2,q64,"c(2, 1)",And which one of these comes closer to your opinion?,1 homosexuality is a way of life that should be accepted by society / 2 homosexuality is a way of life that should not be accepted by society,1,
pewrel2015_ee,approve3,q71h,"c(2, 3, 1)",pless tell me whether you personally believe that it is morally acceptable,1 morally acceptable / 2 morally wrong / 3 not a moral issue,1,
pewrel2016_us,approve3,moralissuecf2_w20,"c(2, 3, 1)",pless tell me whether you personally believe that it is morally acceptable,1 morally acceptable / 2 morally wrong / 3 not a moral issue,1,
pewrel2017_we,marry4a,q5,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
pgss,approve4,q106,c(1:4),"And what about sexual relations between two adults of the same sex, is it?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
poc_ca2002,marry4a,q306_02,c(4:1),Gays and lesbians should be allowed to get married,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree,,
poc_ca2003,marry4a,q4a,c(4:1),Gays and lesbians should be allowed to get married,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree,,
politbarometer_east2000,civil2,v217,"c(2, 1)",The legislature has largely put same-sex partnerships legally on an equal footing with marriages,1 Do you like that / 2 Don't you think that's good?,1,
politbarometer_east2001,civil2,v185,"c(2, 1)",The legislature has largely put same-sex partnerships legally on an equal footing with marriages,1 Do you like that / 2 Don't you think that's good?,1,
politbarometer_west2000,civil2,v217,"c(2, 1)",The legislature has largely put same-sex partnerships legally on an equal footing with marriages,1 Do you like that / 2 Don't you think that's good?,1,
politbarometer_west2001,civil2,v185,"c(2, 1)",The legislature has largely put same-sex partnerships legally on an equal footing with marriages,1 Do you like that / 2 Don't you think that's good?,1,
prri2011_avs,marry4a,q8b,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
prri2011_mrgl,adopt4a,q8c,c(4:1),allowing gay and lesbian couples to adopt children,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
prri2011_mrgl,marry4a,q5a,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
prri2011_pici,marry4a,q5b,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
prri2012_3rns,adopt4a,q5c,c(4:1),allowing gay and lesbian couples to adopt children,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
prri2012_3rns,marry4a,q5a,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
prri2012_6rns,marry4a,q1a,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
prri2012_avs,marry4a,q12a,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
prri2012_rcc,marry4a,q12a,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
prri2013_3rap,adopt4a,q1c,c(4:1),allowing gay and lesbian couples to adopt children,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
prri2013_3rap,marry4a,q1a,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
prri2013_5rap,marry4a,q7a,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
prri2013_rvi,marry4a,q4a,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
prri2015_rap,marry4a,q3a,c(4:1),Do you strongly favor favor oppose or strongly oppose allowing gays and lesbians to marry legally?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppse,1,
prriatlantic2016_wwc,adopt4a,q15a,c(4:1),allowing gay and lesbian couples to adopt children,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
psra199402,adopt2,q10d,"c(2, 1)",Do you think there should or should not be adoption rights for gay spouses?,1 should / 2 should not,1,
psra199402,marry2,q10c,"c(2, 1)",Do you think there should or should not be legally-sanctioned gay marriages?,1 should / 2 should not,1,
psra199605,adopt2,q7d,"c(2, 1)",Do you think there should or should not be adoption rights for gay spouses?,1 should / 2 should not,1,
psra199605,marry2,q7c,"c(2, 1)",Do you think there should or should not be legally-sanctioned gay marriages?,1 should / 2 should not,1,
psra199610,adopt2,q18,"c(2, 1)",Do you think there should or should not be adoption rights for gay spouses?,1 should / 2 should not,1,
psra199706,adopt2,q4d,"c(2, 1)",Do you think there should or should not be adoption rights for gay spouses?,1 should / 2 should not,1,
psra199706,marry2,q4c,"c(2, 1)",Do you think there should or should not be legally-sanctioned gay marriages?,1 should / 2 should not,1,
psra199808,adopt2,q12d,"c(2, 1)",Do you think there should or should not be adoption rights for gay spouses?,1 should / 2 should not,1,
psra199808,marry2,q12c,"c(2, 1)",Do you think there should or should not be legally-sanctioned gay marriages?,1 should / 2 should not,1,
psra200003,adopt2,q15d,"c(2, 1)",Do you think there should or should not be adoption rights for gay spouses?,1 should be / 2 should not be,1,
psra200003,marry2,q15c,"c(2, 1)",Do you think there should or should not be legally-sanctioned gay marriages?,1 should / 2 should not,1,
psra2002,adopt2,q9c,"c(2, 1)",Do you think there should or should not be adoption rights for gays and lesbians so they can legally adopt children?,1 should / 2 should not,1,
psra2002,marry2,q9b,"c(2, 1)",Do you think there should or should not be legally-sanctioned gay marriages?,1 should / 2 should not,1,
psra2004,adopt2,q14c,"c(2, 1)",Do you think there should or should not be adoption rights for gays and lesbians so they can legally adopt children?,1 should / 2 should not,1,
psra2004,marry2,q14a,"c(2, 1)",Do you think there should or should not be legally-sanctioned gay marriages?,1 should / 2 should not,1,
psra2008,adopt2,q8c,"c(2, 1)",Do you think there should or should not be adoption rights for gays and lesbians so they can legally adopt children?,1 should / 2 should not,1,
psra2008,marry2,q8b,"c(2, 1)",Do you think there should or should not be legally-sanctioned gay marriages?,1 should / 2 should not,1,
ptvs2008,adopt4a,par_g20_11,c(1:4),Homosexual couples should be able to adopt children,1 completely disagree / 2 do not agree / 3 agree / 4 completely agree,1,
ptvs2008,marry5,ccs_g21_4,c(5:1),"Same-sex marriages should be
prohibited by law","1 completely disagree / 2 do not agree / 3 neither agree, nor disagree / 4 agree / 5 completely agree",1,
ptvs2012,adopt4a,h.24.11,c(1:4),Homosexual couples should be able to adopt children,1 completely disagree / 2 do not agree / 3 agree / 4 completely agree,1,
ptvs2012,marry5,h.25.2,c(5:1),"Same-sex marriages should be prohibited
by law","1 completely disagree / 2 do not agree / 3 neither agree, nor disagree / 4 agree / 5 completely agree",1,
ptvs2016,adopt5,par_h23_11,c(1:5),"Homosexual couples should be able to
adopt children",1 completely disagree / 2 do not agree / 3 agree / 4 completely agree,1,
ptvs2016,marry5,ccs_c2d,c(5:1),"Same-sex marriages should be
prohibited by law","1 completely disagree / 2 do not agree / 3 neither agree, nor disagree / 4 agree / 5 completely agree",1,
ress2014,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,1 agree strongly / 2 agree / 3 neither agree nor disagree / 4 disagree / 5 disagree strongly,1,
seessp2004,free5,v019,c(5:1),Gay men and lesbians should be free to live their own life as they wish,1 agree strongly / 2 agree / 3 neither agree nor disagree / 4 disagree / 5 disagree strongly,,
seessp2004,legal5,v073,c(1:5),Homosexuals are no better than criminals and should be punished in the extreme,1 agree strongly / 2 agree / 3 neither agree nor disagree / 4 disagree / 5 disagree strongly,,
seessp2004,approve4,v162,c(1:4),"And what about sexual relations between two adults of the same sex, is it:",1 always wrong / 2 almost always wrong / 3 almost always right / 4 always right,,
snes2002,adopt5,v163,c(5:1),Allow gay couples to adopt children,1 very good proposal 2 pretty good proposal 3 neither good nor bad proposal 4 pretty bad proposal 5 very bad proposal,,
snes2006,adopt5,v574,c(5:1),Allow gay couples to adopt children,1 very good proposal 2 pretty good proposal 3 neither good nor bad proposal 4 pretty bad proposal 5 very bad proposal,,
snes2006,strength11,v569,c(0:10),"What do you think of the proposal to invest in a society where the rights of gay, bi and transsexuals are strengthened?",0 very bad proposal / 1234 / 5 neither good nor bad suggestion / 6789 / 10 very good suggestion,,
snes2010,strength11,vu10_v862,c(0:10),"What do you think of the proposal to invest in a society where the rights of gay, bi and transsexuals are strengthened?",0 very bad proposal / 1234 / 5 neither good nor bad suggestion / 6789 / 10 very good suggestion,,
snes2014,strength11,f42k,c(0:10),"What do you think of the proposal to invest in a society where the rights of gay, bi and transsexuals are strengthened?",0 very bad proposal / 1234 / 5 neither good nor bad suggestion / 6789 / 10 very good suggestion,,
snes2018,strength11,q332c,c(0:10),"What do you think of the proposal to invest in a society where the rights of homo-, bi- and transsexuals are strengthened?",0 very bad proposal / 1234 / 5 neither good nor bad suggestion / 6789 / 10 very good suggestion,,
som_class2008,marry5,f52d,c(5:1),Homosexual rights to marriage,1 very good suggestion 2 pretty good suggestion 3 neither good nor bad suggestion 4 pretty bad suggestion 5 very bad suggestion,,
som_combo,adopt5,bb900b,c(5:1),Allow gay couples to adopt children,1 very good suggestion 2 pretty good suggestion 3 neither good nor bad suggestion 4 pretty bad suggestion 5 very bad suggestion,1,
som_combo,adopt5,bb901b,c(5:1),Allow gay couples to adopt children,1 very good suggestion 2 pretty good suggestion 3 neither good nor bad suggestion 4 pretty bad suggestion 5 very bad suggestion,1,
som_combo,strength5,bb900f,c(5:1),"Strengthen the position of homosexuals, bisexuals and transsexuals in society",1 very good suggestion 2 pretty good suggestion 3 neither good nor bad suggestion 4 pretty bad suggestion 5 very bad suggestion,1,
som_combo,strength5,bb901j,c(5:1),"Strengthen the position of homosexuals, bisexuals and transsexuals in society",1 very good suggestion 2 pretty good suggestion 3 neither good nor bad suggestion 4 pretty bad suggestion 5 very bad suggestion,1,
tcmeg2004,neigh2,m904i,"c(1, 0)",Do you mind having the following groups as neighbors? Homosexuals,0 I do not mind having them as neighbors 1 I mind having them as neighbors,,
twscs2015,marry4a,v63,c(4:1),Homosexual couples should have the right to get married,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree,,
twscs2018_rel,approve4,v83,c(1:4),Sexual relations between two adults of the same sex,1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,,
usgss,approve4,homosex,c(1:4),"What about sexual relations between two adults of the same sex--do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,1,
usgss,marry5,marhomo1,c(5:1),Homosexual couples have the right to marry one another,1 strongly agree / 2 agree / 3 neither agree nor disagree / 4 disagree / 5 strongly disagree,1,
usgss,marry5,marhomo,c(5:1),Homosexual couples should have the right to marry one another,1 strongly agree / 2 agree / 3 neither agree nor disagree / 4 disagree / 5 strongly disagree,1,
usnwr198509,accept2a,var68,"c(2, 1)","Do you think that homosexuality should be considered an acceptable lifestyle, or is it basically wrong?",1 acceptable / 2 basically wrong,1,
uspew_valcombo,teacher4,q16e,c(1:4),School boards ought to have the right to fire teachers who are known homosexuals,1 completely agree / 2 mostly agree / 3 mostly disagree / 4 completely disagree,,
uspew1993_nii,accept2,q17,"c(2, 1)","Some people feel that homosexuality is a lifestyle that should be accepted by society. Other feel that homosexuality is a lifestyle that should be discouraged by society. Which comes closer to your viewpoint, the first position or the second?",1 accepted / 2 discouraged,1,
uspew1996_05pol,marry4a,q13d,c(4:1),Allowing gays and lesbians to marry legally,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew1996_media,accept2,q8e,"c(2, 1)",Homosexuality is a way of life that should be accepted by society,1 accepted / 2 discouraged,1,
uspew1999_nii,adopt4b,q30b,c(4:1),Allowing gays and lesbians to adopt children,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/wp-content/uploads/sites/4/legacy-pdf/54.pdf
uspew2003_10nii,marry4a,q17,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/october-2003-news-interest-index/
uspew2003_rel,marry4a,q2ef1,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/2003-religion-public-life-survey/
